city,party,leader,tweet,tweet_time
belfast,,Nigel-Farage,@Michael_Heaver @Nigel_Farage @TiceRichard 🤦🏼‍♂️ O Dear,Thu Nov 21 23:34:38 +0000 2019
belfast,,Nigel-Farage,Nigel Farage is... Norman Stanley Fletcher https://t.co/elqH4tqbOe,Thu Nov 21 23:29:19 +0000 2019
belfast,,Nigel-Farage,@Nigel_Farage You walking into a prison?,Thu Nov 21 21:34:22 +0000 2019
belfast,,Nigel-Farage,"@kevinpbreslin @richardtgarland @Bd777Dee @Nigel_Farage @BorisJohnson And that's what our policy is.

We'll only en… https://t.co/zEecxhaQjo",Thu Nov 21 14:26:06 +0000 2019
belfast,,Nigel-Farage,Jim Allister is the Northern Irish Nigel Farage,Thu Nov 21 14:23:16 +0000 2019
belfast,,Nigel-Farage,"@ShropshireMan @LanceForman @hopenothate @Nigel_Farage Not bollox at all but then again, you are Conservative and y… https://t.co/h3RMc2XQsL",Thu Nov 21 12:39:34 +0000 2019
belfast,,Nigel-Farage,@Dismal_daveR @MaryBuddHR @LanceForman @hopenothate @Nigel_Farage *than,Thu Nov 21 12:33:21 +0000 2019
belfast,,Nigel-Farage,@MaryBuddHR @Dismal_daveR @LanceForman @hopenothate @Nigel_Farage Not to mention that the traveling that these refu… https://t.co/Cc6PHovcNP,Thu Nov 21 12:33:00 +0000 2019
belfast,,Nigel-Farage,@LanceForman @hopenothate @Nigel_Farage Another rich politician who is completely out of touch with the working class,Thu Nov 21 12:27:58 +0000 2019
belfast,,Nigel-Farage,"@kevinpbreslin @naomi_long @Nigel_Farage @BorisJohnson I never mentioned the Republic of Ireland, I was talking abo… https://t.co/QFJif0N069",Thu Nov 21 10:19:41 +0000 2019
belfast,,Nigel-Farage,@Bd777Dee @naomi_long @kevinpbreslin @Nigel_Farage @BorisJohnson Least worst? How did you determine that? How many… https://t.co/eVIM98aXha,Thu Nov 21 10:13:08 +0000 2019
belfast,,Nigel-Farage,"@fredkee1800 @kevinpbreslin @naomi_long @Nigel_Farage @BorisJohnson But here keep up the condescension Fred, it definitely suits you.",Thu Nov 21 10:11:35 +0000 2019
belfast,,Nigel-Farage,@fredkee1800 @kevinpbreslin @naomi_long @Nigel_Farage @BorisJohnson Just because I am open in terms of possible sol… https://t.co/bzYRW1IXsA,Thu Nov 21 10:11:01 +0000 2019
belfast,,Nigel-Farage,"@kevinpbreslin @naomi_long @Nigel_Farage @BorisJohnson No, it’s a case of people accepting literally anything that… https://t.co/kP2kOeB1sX",Thu Nov 21 10:08:11 +0000 2019
belfast,,Nigel-Farage,@kevinpbreslin @richardtgarland @naomi_long @Nigel_Farage @BorisJohnson Couldn’t agree more. For non NI UK it’s a shocker.,Thu Nov 21 10:04:56 +0000 2019
